No.,Genera_Re,Latitude,Longitude,Altitude,P25mean,P10mean,NO2mean,SO2mean,P25AQGL,P10AQGL,NO2AQGL,SO2AQGL,PM25_AQI,PM10_AQI,NO2_AQI,SO2_AQI,C_AQI
1,Diorygma,6.435176667,2.889956667,9.8,7,21,32,300,Good,Good,Poor,ExPoor,46.66666667,46.66666667,128,750,242.8333333
2,Diorygma,6.435178333,2.889955,9.8,7,21,32,300,Good,Good,Poor,ExPoor,46.66666667,46.66666667,128,750,242.8333333
3,Diorygma,6.435178333,2.88995,9.8,7,21,32,300,Good,Good,Poor,ExPoor,46.66666667,46.66666667,128,750,242.8333333
4,Diorygma,6.435155,2.889873333,9.5,7,21,32,300,Good,Good,Poor,ExPoor,46.66666667,46.66666667,128,750,242.8333333
5,Physcia,6.458105,3.201145,25.5,5,13,0,500,Good,Good,Good,ExPoor,33.33333333,28.88888889,0,1250,328.0555556
6,Physcia,6.458103333,3.201173333,25.5,5,13,0,500,Good,Good,Good,ExPoor,33.33333333,28.88888889,0,1250,328.0555556
7,Physcia,6.458086667,3.201103333,18.1,5,13,0,500,Good,Good,Good,ExPoor,33.33333333,28.88888889,0,1250,328.0555556
8,Physcia,6.458068333,3.201076667,17.5,5,13,0,500,Good,Good,Good,ExPoor,33.33333333,28.88888889,0,1250,328.0555556
9,Physcia,6.45821,3.201143333,11.9,5,13,0,500,Good,Good,Good,ExPoor,33.33333333,28.88888889,0,1250,328.0555556
10,Physcia,6.461896667,3.290986667,16,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
11,Physcia,6.4619,3.29099,14.3,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
12,Physcia,6.461905,3.291,14.2,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
13,Physcia,6.461903333,3.291005,14.2,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
14,Physcia,6.46259,3.287718333,2.09,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
15,Physcia,6.462585,3.28772,2,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
16,Physcia,6.462546667,3.287833333,3.4,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
17,Physcia,6.462545,3.287825,3.5,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
18,Physcia,6.462556667,3.287823333,3.8,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
19,Physcia,6.462556667,3.287823333,3.8,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
20,Physcia,6.462555,3.287821667,3.8,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
21,Physcia,6.462568333,3.287831667,4.1,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
22,Physcia,6.462568333,3.287831667,4.1,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
23,Physcia,6.462563333,3.287825,4.6,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
24,Chrysothrix,6.462631667,3.287763333,6.5,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
25,Chrysothrix,6.46263,3.28776,6.4,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
26,Physcia,6.462626667,3.28778,5.9,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
27,Physcia,6.462641667,3.287786667,5.7,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
28,Physcia,6.462638333,3.287786667,5.6,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
29,Chrysothrix,6.462638333,3.287786667,5.6,15.2,40.8,101.6,680,Poor,Good,ExPoor,ExPoor,101.3333333,90.66666667,406.4,1700,574.6
30,Diorygma,6.463785,3.200325,26,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
31,Diorygma,6.463788333,3.200301667,25.7,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
32,Diorygma,6.46378,3.200276667,20.5,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
33,Physcia,6.46384,3.20034,20.4,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
34,Physcia,6.46387,3.200308333,20.1,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
35,Physcia,6.463886667,3.200325,20,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
36,Physcia,6.463885,3.20037,24.9,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
37,Physcia,6.463885,3.200338333,24.5,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
38,Physcia,6.463895,3.200331667,23.3,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
39,Physcia,6.463898333,3.200331667,23.1,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
40,Physcia,6.463881667,3.200321667,22.7,15.5,64,38,500,Poor,VPoor,VPoor,ExPoor,103.3333333,142.2222222,152,1250,411.8888889
